
-0.7	0	1
-0.7	0	1
-0.65	0.00995042	0.05
-0.625	0.0147394	0.025
-0.6125	0.0170864	0.0125
-0.5875	0.0216837	0.025
-0.575	0.0239336	0.0125
-0.55	0.0283341	0.025
-0.5375	0.0304842	0.0125
-0.5125	0.0346828	0.025
-0.5	0.0367308	0.0125
-0.475	0.0407225	0.025
-0.4625	0.0426657	0.0125
-0.4375	0.0464454	0.025
-0.425	0.0482815	0.0125
-0.4	0.0518445	0.025
-0.3875	0.0535709	0.0125
-0.3625	0.0569122	0.025
-0.35	0.0585266	0.0125
-0.325	0.0616416	0.025
-0.3125	0.0631416	0.0125
-0.2875	0.0660254	0.025
-0.275	0.0674087	0.0125
-0.25	0.0700567	0.025
-0.2375	0.071321	0.0125
-0.2125	0.0737287	0.025
-0.2	0.0748717	0.0125
-0.175	0.0770347	0.025
-0.1625	0.0780541	0.0125
-0.1375	0.0799678	0.025
-0.125	0.0808616	0.0125
-0.1	0.0825218	0.025
-0.0875	0.0832877	0.0125
-0.0625	0.08469	0.025
-0.05	0.085326	0.0125
-0.025	0.0864663	0.025
-0.0125	0.0869702	0.0125
0.0125	0.0878445	0.025
0.025	0.0882143	0.0125
0.05	0.0888184	0.025
0.0625	0.0890522	0.0125
0.0875	0.0893822	0.025
0.1	0.089478	0.0125
0.125	0.0895301	0.025
0.1375	0.089486	0.0125
0.1625	0.0892564	0.025
0.175	0.0890705	0.0125
0.2	0.0885555	0.025
0.2125	0.088226	0.0125
0.2375	0.0874221	0.025
0.25	0.0869472	0.0125
0.275	0.0858508	0.025
0.2875	0.0852288	0.0125
0.3125	0.0838364	0.025
0.325	0.0830657	0.0125
0.35	0.0813741	0.025
0.3625	0.0804529	0.0125
0.3875	0.0784588	0.025
0.4	0.0773856	0.0125
0.425	0.0750859	0.025
0.4375	0.0738591	0.0125
0.4625	0.0712507	0.025
0.475	0.0698688	0.0125
0.5	0.0669487	0.025
0.5125	0.0654103	0.0125
0.5375	0.0621757	0.025
0.55	0.0604793	0.0125
0.575	0.0569274	0.025
0.5875	0.0550717	0.0125
0.6125	0.0511998	0.025
0.625	0.0491834	0.0125
0.65	0.044989	0.025
0.6625	0.0428107	0.0125
0.6875	0.0382912	0.025
0.7	0.0359497	0.0125
0.725	0.0311028	0.025
0.7375	0.028597	0.0125
0.7625	0.0234203	0.025
0.775	0.020749	0.0125
0.8	0.0152403	0.025
0.8125	0.0124025	0.0125
0.8375	0.0065597	0.025
0.85	0.00355438	0.0125
0.875	-0.00262459	0.025
0.8875	-0.00579845	0.0125
0.9125	-0.0123155	0.025
0.925	-0.0156588	0.0125
0.95	-0.0225157	0.025
0.9625	-0.0260295	0.0125
0.9875	-0.033228	0.025
